SoldDate,User,Price,Qty,Ignored,Note
"04/Sep 18:33","Lzrdboi","300","10","false",""
"04/Sep 16:49","buffalochicken","99","10","false",""
"03/Sep 18:48","Pav","140","10","false",""
"03/Sep 18:38","quazawe","119","2","false",""
"03/Sep 18:38","quazawe","100","3","false",""
"03/Sep 18:04","bugcatcha","120","69","false",""
"03/Sep 07:04","NetFireC4t","100","99","false",""
"03/Sep 06:20","ykwtdtgluip","120","69","false",""
"03/Sep 06:19","ykwtdtgluip","110","10","false",""
"03/Sep 04:04","S4LMON","110","10","false",""
"05/Sep 00:16","Alexiel","1","1","false",""
